pkSeqID,stime,proto,pkts,bytes,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory
1701431,1526963701.561686,udp,2,203,1526963701.704397,225,0.142711,0.142711,0.0,0.142711,0.142711,0.142711,1,1,64,139,7.007168,0.0,0.0,0,Normal,Normal
1610651,1526895301.434711,udp,2,203,1526895301.577524,226,0.142813,0.142813,0.0,0.142813,0.142813,0.142813,1,1,64,139,7.002164,0.0,0.0,0,Normal,Normal
1555020,1526878274.483553,udp,2,176,1526878279.531425,36343,5.047872,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198103,0.198103,0.0,0,Normal,Normal
1492355,1526876592.547194,udp,2,172,1526876595.048285,26447,2.501091,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399826,0.399826,0.0,0,Normal,Normal
40904022,1528096368.507396,udp,4389,4270143,1528096408.340492,17910,39.833096,4.926613,0.125346,39.412903,4.615202,4.99874,2196,2193,2090186,2179957,110.159653,55.104931,55.029617,0,Normal,Normal
61745203,1528099842.253641,tcp,753,536400,1528099857.995989,10,15.742348,3.917139,1.854503,15.668555,0.705047,4.988496,753,0,536400,0,47.769241,47.769241,0.0,0,Normal,Normal
59913195,1528099706.191674,udp,1271,1220856,1528099724.065128,3119,17.873453,4.459451,0.917448,17.837805,2.870384,4.990404,1271,0,1220856,0,71.055099,71.055099,0.0,0,Normal,Normal
50304793,1528097690.572843,tcp,5600,5457375,1528097725.571603,11,34.99876,4.988946,0.002214,34.922626,4.985888,4.99248,2800,2800,2816345,2641030,159.977097,79.974258,79.974258,0,Normal,Normal
1518965,1526877108.217459,udp,2,176,1526877113.258966,53328,5.041507,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198353,0.198353,0.0,0,Normal,Normal
454387,1526885498.43444,tcp,16545,14672587,1526886771.330507,3,1272.896118,4.934014,0.035054,1253.239624,4.905121,4.999999,16545,0,14672587,0,12.997133,12.997133,0.0,0,Normal,Normal
786635,1526902207.506716,udp,2,274,1526902208.668547,1790,1.161831,1.161831,0.0,1.161831,1.161831,1.161831,1,1,85,189,0.86071,0.0,0.0,0,Normal,Normal
1828981,1529381179.794522,udp,2,1310,1529381179.852719,691,0.058197,0.058197,0.0,0.058197,0.058197,0.058197,1,1,91,1219,17.183016,0.0,0.0,0,Normal,Normal
1716847,1526963923.350966,udp,2,176,1526963928.394256,15803,5.04329,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198283,0.198283,0.0,0,Normal,Normal
20993159,1528085740.782416,udp,1814,1737182,1528085763.491666,714,22.709249,4.531315,0.932755,22.656574,2.665805,4.999738,1814,0,1737182,0,79.835312,79.835312,0.0,0,Normal,Normal
1828279,1526982770.533406,udp,2,176,1526982775.581464,35851,5.048058,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198096,0.198096,0.0,0,Normal,Normal
49518367,1528097482.725397,udp,11004,10704077,1528097551.508318,68,68.782921,4.901648,0.320311,68.623062,3.746797,4.999483,5502,5502,5227929,5476148,159.967041,79.97625,79.97625,0,Normal,Normal
1479351,1526876255.003364,udp,2,340,1526876255.235475,13288,0.232111,0.232111,0.0,0.232111,0.232111,0.232111,1,1,81,259,4.308283,0.0,0.0,0,Normal,Normal
1810722,1526982121.829369,udp,2,227,1526982121.974434,18033,0.145065,0.145065,0.0,0.145065,0.145065,0.145065,1,1,76,151,6.893462,0.0,0.0,0,Normal,Normal
1683063,1526963087.275884,udp,2,176,1526963092.315864,37138,5.03998,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198413,0.198413,0.0,0,Normal,Normal
21522776,1528085801.858468,tcp,1050,746404,1528085823.864429,6008,22.00596,4.381127,1.202287,21.905636,1.976571,4.98821,1050,0,746404,0,47.668903,47.668903,0.0,0,Normal,Normal
54932544,1528099352.340888,tcp,720,510909,1528099367.384109,3511,15.043221,3.741987,2.160438,14.967948,0.0,4.992348,720,0,510909,0,47.795612,47.795612,0.0,0,Normal,Normal
1810843,1526982195.003785,udp,2,176,1526982200.051671,18118,5.047886,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198103,0.198103,0.0,0,Normal,Normal
798538,1526905722.384491,udp,4,1086,1526906450.759329,2101,728.374817,0.000179,1.1e-05,0.000358,0.000168,0.00019,4,0,1086,0,0.004119,0.004119,0.0,0,Normal,Normal
13960,1526345451.655925,udp,1,60,1526345451.655925,14545,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,0,Normal,Normal
1483942,1526876461.809855,udp,2,227,1526876461.953906,17905,0.144051,0.144051,0.0,0.144051,0.144051,0.144051,1,1,76,151,6.941986,0.0,0.0,0,Normal,Normal
53618679,1528097979.915205,tcp,1494,1400860,1528098001.103453,451,21.188248,4.227317,1.530426,21.136587,1.166474,4.9985,1494,0,1400860,0,70.463593,70.463593,0.0,0,Normal,Normal
22160253,1528085864.192587,tcp,4,295,1528085864.349127,119137,0.15654,0.15654,0.0,0.15654,0.15654,0.15654,2,2,163,132,19.164431,6.388144,6.388144,0,Normal,Normal
1483680,1526876296.247474,udp,2,176,1526876301.292649,17629,5.045175,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198209,0.198209,0.0,0,Normal,Normal
65971962,1528100326.319795,tcp,6,3113,1528100331.327775,32174,5.00798,1.926512,1.919748,3.853024,0.006764,3.84626,3,3,2915,198,0.998407,0.399903,0.399363,0,Normal,Normal
1810750,1526982184.90698,udp,2,176,1526982189.95492,18073,5.04794,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198101,0.198101,0.0,0,Normal,Normal
1701014,1526963506.383037,udp,2,176,1526963511.424478,55314,5.041441,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198356,0.198356,0.0,0,Normal,Normal
5013229,1528081974.186109,tcp,42,19921,1528082032.262165,7258,58.076057,3.134949,2.106273,34.48444,0.005989,4.999155,21,21,18535,1386,0.705971,0.344412,0.344498,0,Normal,Normal
1111446,1526955173.083142,udp,2,937,1526955173.249236,4086,0.166094,0.166094,0.0,0.166094,0.166094,0.166094,1,1,91,846,6.020687,0.0,0.0,0,Normal,Normal
802924,1526908390.452208,udp,2,180,1526908390.74083,4071,0.288622,0.288622,0.0,0.288622,0.288622,0.288622,1,1,90,90,3.46474,0.0,0.0,0,Normal,Normal
1632682,1526895835.080284,udp,2,172,1526895835.087734,22535,0.00745,0.00745,0.0,0.00745,0.00745,0.00745,1,1,86,86,134.228195,0.0,0.0,0,Normal,Normal
117937,1526354187.370462,udp,2,172,1526354192.409952,15400,5.03949,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.198433,0.198433,0.0,0,Normal,Normal
1610381,1526895106.124431,udp,2,176,1526895111.169225,55857,5.044794,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198224,0.198224,0.0,0,Normal,Normal
50735781,1528097734.05507,udp,1340,1288237,1528097750.799676,1300,16.744606,4.177146,1.407372,16.708586,1.73951,4.991891,1340,0,1288237,0,79.966049,79.966049,0.0,0,Normal,Normal
1806159,1526981918.259791,udp,2,172,1526981920.759897,13446,2.500106,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399983,0.399983,0.0,0,Normal,Normal
1757234,1526980902.611299,udp,2,176,1526980907.659282,20229,5.047983,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198099,0.198099,0.0,0,Normal,Normal
1628462,1526895760.666747,udp,2,176,1526895765.714647,18244,5.0479,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198102,0.198102,0.0,0,Normal,Normal
43242674,1528096611.00082,udp,2,323,1528096611.250458,262164,0.249638,0.249638,0.0,0.249638,0.249638,0.249638,1,1,93,230,4.0058,0.0,0.0,0,Normal,Normal
1736822,1526964366.352043,udp,2,176,1526964371.394286,35946,5.042243,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198324,0.198324,0.0,0,Normal,Normal
1470363,1526876145.0195,udp,2,340,1526876145.164128,4278,0.144628,0.144628,0.0,0.144628,0.144628,0.144628,1,1,81,259,6.91429,0.0,0.0,0,Normal,Normal
1683524,1526963282.125197,udp,2,227,1526963282.133164,37633,0.007967,0.007967,0.0,0.007967,0.007967,0.007967,1,1,76,151,125.517761,0.0,0.0,0,Normal,Normal
48751,1526349114.580421,udp,2,172,1526349117.081537,20427,2.501116,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399822,0.399822,0.0,0,Normal,Normal
6698506,1528082328.954866,tcp,2716,1931431,1528082385.562442,81,56.607574,4.693938,0.973402,56.327259,1.46572,4.999792,2716,0,1931431,0,47.961781,47.961781,0.0,0,Normal,Normal
120480,1526354507.080802,udp,2,419,1526354507.089387,18105,0.008585,0.008585,0.0,0.008585,0.008585,0.008585,1,1,118,301,116.482231,0.0,0.0,0,Normal,Normal
1757229,1526980862.224198,udp,2,176,1526980867.272029,20210,5.047831,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198105,0.198105,0.0,0,Normal,Normal
1610379,1526895106.118,udp,2,176,1526895111.159126,55855,5.041126,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198368,0.198368,0.0,0,Normal,Normal
34866024,1528095721.889183,tcp,6,548,1528095731.696919,9552,9.807736,0.080987,0.066325,0.161974,0.014662,0.147312,4,2,428,120,0.509802,0.305881,0.10196,1,DDoS,TCP
34866025,1528095721.889184,tcp,6,548,1528095731.696919,9553,9.807735,0.080986,0.066324,0.161972,0.014662,0.14731,4,2,428,120,0.509802,0.305881,0.10196,1,DDoS,TCP
34866026,1528095721.889186,tcp,6,548,1528095731.69692,9554,9.807734,0.080985,0.066325,0.16197,0.01466,0.14731,4,2,428,120,0.509802,0.305881,0.10196,1,DDoS,TCP
34866027,1528095721.889187,tcp,6,548,1528095731.696921,9555,9.807734,0.080985,0.066325,0.16197,0.01466,0.14731,4,2,428,120,0.509802,0.305881,0.10196,1,DDoS,TCP
34866028,1528095721.889189,tcp,6,548,1528095731.696921,9556,9.807732,0.080984,0.066325,0.161967,0.014659,0.147308,4,2,428,120,0.509802,0.305881,0.10196,1,DDoS,TCP
34866029,1528095721.889191,tcp,6,548,1528095731.696922,9557,9.807731,0.080983,0.066325,0.161966,0.014658,0.147308,4,2,428,120,0.509802,0.305881,0.10196,1,DDoS,TCP
34866030,1528095721.889192,tcp,6,548,1528095731.696923,9558,9.807731,0.080983,0.066325,0.161966,0.014658,0.147308,4,2,428,120,0.509802,0.305881,0.10196,1,DDoS,TCP
34866031,1528095721.889194,tcp,6,548,1528095731.696923,9559,9.807729,0.080982,0.066324,0.161963,0.014657,0.147306,4,2,428,120,0.509802,0.305881,0.10196,1,DDoS,TCP
34866032,1528095721.889195,tcp,6,548,1528095731.696924,9560,9.807729,0.080982,0.066324,0.161963,0.014657,0.147306,4,2,428,120,0.509802,0.305881,0.10196,1,DDoS,TCP
34866033,1528095721.889197,tcp,6,548,1528095731.70583,9561,9.816633,0.085433,0.070778,0.170867,0.014656,0.156211,4,2,428,120,0.50934,0.305604,0.101868,1,DDoS,TCP
34866034,1528095721.889199,tcp,6,548,1528095731.70583,9562,9.816631,0.085432,0.070778,0.170863,0.014654,0.156209,4,2,428,120,0.50934,0.305604,0.101868,1,DDoS,TCP
34866035,1528095721.8892,tcp,6,548,1528095731.705831,9563,9.816631,0.085432,0.070778,0.170863,0.014654,0.156209,4,2,428,120,0.50934,0.305604,0.101868,1,DDoS,TCP
34866036,1528095721.889202,tcp,6,548,1528095731.705831,9564,9.816629,0.08543,0.070777,0.170861,0.014653,0.156208,4,2,428,120,0.50934,0.305604,0.101868,1,DDoS,TCP
34866037,1528095721.889204,tcp,6,548,1528095731.705787,9565,9.816583,0.085423,0.070824,0.170846,0.014599,0.156247,4,2,428,120,0.509342,0.305605,0.101868,1,DDoS,TCP
34866038,1528095721.889205,tcp,6,548,1528095731.705834,9566,9.816629,0.085446,0.070847,0.170891,0.014599,0.156292,4,2,428,120,0.50934,0.305604,0.101868,1,DDoS,TCP
34866039,1528095721.889206,tcp,6,548,1528095731.705835,9567,9.816629,0.085446,0.070847,0.170891,0.014599,0.156292,4,2,428,120,0.50934,0.305604,0.101868,1,DDoS,TCP
34866040,1528095721.889208,tcp,6,548,1528095731.705835,9568,9.816627,0.085444,0.070846,0.170888,0.014598,0.15629,4,2,428,120,0.50934,0.305604,0.101868,1,DDoS,TCP
34866041,1528095721.889209,tcp,6,548,1528095731.705836,9569,9.816627,0.085444,0.070846,0.170888,0.014598,0.15629,4,2,428,120,0.50934,0.305604,0.101868,1,DDoS,TCP
34866042,1528095721.889211,tcp,6,548,1528095731.705837,9570,9.816626,0.085443,0.070847,0.170886,0.014596,0.15629,4,2,428,120,0.50934,0.305604,0.101868,1,DDoS,TCP
34866043,1528095721.889239,tcp,6,548,1528095731.705832,9571,9.816593,0.085412,0.070795,0.170824,0.014617,0.156207,4,2,428,120,0.509342,0.305605,0.101868,1,DDoS,TCP
34866044,1528095721.88924,tcp,6,548,1528095731.705833,9572,9.816593,0.085412,0.070795,0.170824,0.014617,0.156207,4,2,428,120,0.509342,0.305605,0.101868,1,DDoS,TCP
34866045,1528095721.889242,tcp,6,548,1528095731.70592,9573,9.816678,0.085454,0.070839,0.170908,0.014615,0.156293,4,2,428,120,0.509337,0.305602,0.101867,1,DDoS,TCP
34866046,1528095721.889243,tcp,6,548,1528095731.705921,9574,9.816678,0.085454,0.070839,0.170907,0.014615,0.156292,4,2,428,120,0.509337,0.305602,0.101867,1,DDoS,TCP
34866047,1528095721.889245,tcp,6,548,1528095731.705922,9575,9.816677,0.085453,0.070839,0.170906,0.014614,0.156292,4,2,428,120,0.509337,0.305602,0.101867,1,DDoS,TCP
34866048,1528095721.890429,tcp,6,548,1528095731.22487,9576,9.334441,0.115268,0.105078,0.230536,0.01019,0.220346,4,2,428,120,0.535651,0.32139,0.10713,1,DDoS,TCP
34866049,1528095721.890432,tcp,6,548,1528095731.224871,9577,9.334439,0.116709,0.103636,0.233418,0.013073,0.220345,4,2,428,120,0.535651,0.32139,0.10713,1,DDoS,TCP
34866050,1528095721.890434,tcp,6,548,1528095731.224872,9578,9.334438,0.11671,0.103636,0.233419,0.013074,0.220345,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866051,1528095721.890435,tcp,6,548,1528095731.224873,9579,9.334438,0.116709,0.103635,0.233418,0.013074,0.220344,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866052,1528095721.890437,tcp,6,548,1528095731.224874,9580,9.334437,0.116708,0.103635,0.233416,0.013073,0.220343,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866053,1528095721.890439,tcp,6,548,1528095731.224875,9581,9.334436,0.116707,0.103635,0.233414,0.013072,0.220342,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866054,1528095721.89044,tcp,6,548,1528095731.224876,9582,9.334436,0.116707,0.103635,0.233414,0.013072,0.220342,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866055,1528095721.890443,tcp,6,548,1528095731.224877,9583,9.334434,0.116705,0.103635,0.233411,0.01307,0.220341,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866056,1528095721.890444,tcp,6,548,1528095731.224878,9584,9.334434,0.116705,0.103635,0.23341,0.01307,0.22034,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866057,1528095721.890445,tcp,6,548,1528095731.224878,9585,9.334433,0.116704,0.103634,0.233408,0.01307,0.220338,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866058,1528095721.890447,tcp,6,548,1528095731.224879,9586,9.334432,0.116704,0.103634,0.233407,0.013069,0.220338,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866059,1528095721.890448,tcp,6,548,1528095731.22488,9587,9.334432,0.116704,0.103634,0.233407,0.013069,0.220338,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866060,1528095721.89045,tcp,6,548,1528095731.224882,9588,9.334432,0.116704,0.103635,0.233407,0.013068,0.220339,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866061,1528095721.890451,tcp,6,548,1528095731.224882,9589,9.334431,0.116702,0.103635,0.233404,0.013067,0.220337,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866062,1528095721.890452,tcp,6,548,1528095731.224883,9590,9.334431,0.116702,0.103635,0.233404,0.013067,0.220337,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866063,1528095721.890454,tcp,6,548,1528095731.224884,9591,9.33443,0.116701,0.103635,0.233402,0.013066,0.220336,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866064,1528095721.890455,tcp,6,548,1528095731.224885,9592,9.33443,0.116701,0.103635,0.233402,0.013066,0.220336,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866065,1528095721.890457,tcp,6,548,1528095731.224886,9593,9.334429,0.1167,0.103635,0.2334,0.013065,0.220335,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866066,1528095721.890458,tcp,6,548,1528095731.224887,9594,9.334429,0.1167,0.103635,0.2334,0.013065,0.220335,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866067,1528095721.890459,tcp,6,548,1528095731.224888,9595,9.334429,0.116699,0.103634,0.233399,0.013065,0.220334,4,2,428,120,0.535651,0.321391,0.10713,1,DDoS,TCP
34866068,1528095721.890461,tcp,6,548,1528095731.245415,9596,9.354954,0.126961,0.113899,0.253923,0.013063,0.24086,4,2,428,120,0.534476,0.320686,0.106895,1,DDoS,TCP
34866069,1528095721.890462,tcp,6,548,1528095731.245416,9597,9.354954,0.126961,0.113898,0.253922,0.013063,0.240859,4,2,428,120,0.534476,0.320686,0.106895,1,DDoS,TCP
34866070,1528095721.890463,tcp,6,548,1528095731.245417,9598,9.354954,0.126919,0.113856,0.253838,0.013063,0.240775,4,2,428,120,0.534476,0.320686,0.106895,1,DDoS,TCP
34866071,1528095721.890465,tcp,6,548,1528095731.245418,9599,9.354953,0.126918,0.113857,0.253837,0.013062,0.240775,4,2,428,120,0.534476,0.320686,0.106895,1,DDoS,TCP
34866072,1528095721.890467,tcp,6,548,1528095731.245419,9600,9.354952,0.126918,0.113857,0.253836,0.013061,0.240775,4,2,428,120,0.534476,0.320686,0.106895,1,DDoS,TCP
34866073,1528095721.890469,tcp,6,548,1528095731.245419,9601,9.35495,0.126916,0.113857,0.253833,0.01306,0.240773,4,2,428,120,0.534476,0.320686,0.106895,1,DDoS,TCP
34866074,1528095721.890471,tcp,6,548,1528095731.24542,9602,9.354949,0.126916,0.113857,0.253832,0.013059,0.240773,4,2,428,120,0.534476,0.320686,0.106895,1,DDoS,TCP
34866075,1528095721.890472,tcp,6,548,1528095731.245421,9603,9.354949,0.126915,0.113857,0.25383,0.013058,0.240772,4,2,428,120,0.534476,0.320686,0.106895,1,DDoS,TCP
34866076,1528095721.890474,tcp,6,548,1528095731.245422,9604,9.354948,0.126915,0.113857,0.253829,0.013057,0.240772,4,2,428,120,0.534477,0.320686,0.106895,1,DDoS,TCP
34866077,1528095721.890475,tcp,6,548,1528095731.245423,9605,9.354948,0.126914,0.113857,0.253828,0.013057,0.240771,4,2,428,120,0.534477,0.320686,0.106895,1,DDoS,TCP
34866078,1528095721.890476,tcp,6,548,1528095731.245424,9606,9.354948,0.126914,0.113857,0.253828,0.013057,0.240771,4,2,428,120,0.534477,0.320686,0.106895,1,DDoS,TCP
34866079,1528095721.890478,tcp,6,548,1528095731.245424,9607,9.354946,0.126913,0.113856,0.253825,0.013056,0.240769,4,2,428,120,0.534477,0.320686,0.106895,1,DDoS,TCP
34866080,1528095721.890479,tcp,6,548,1528095731.245425,9608,9.354946,0.126912,0.113856,0.253824,0.013056,0.240768,4,2,428,120,0.534477,0.320686,0.106895,1,DDoS,TCP
34866081,1528095721.890481,tcp,6,548,1528095731.245426,9609,9.354945,0.126912,0.113856,0.253823,0.013055,0.240768,4,2,428,120,0.534477,0.320686,0.106895,1,DDoS,TCP
34866082,1528095721.890483,tcp,6,548,1528095731.245427,9610,9.354944,0.126911,0.113857,0.253822,0.013054,0.240768,4,2,428,120,0.534477,0.320686,0.106895,1,DDoS,TCP
34866083,1528095721.890484,tcp,6,548,1528095731.245427,9611,9.354943,0.12691,0.113856,0.25382,0.013054,0.240766,4,2,428,120,0.534477,0.320686,0.106895,1,DDoS,TCP
34866084,1528095721.890486,tcp,6,548,1528095731.245428,9612,9.354942,0.126909,0.113856,0.253818,0.013053,0.240765,4,2,428,120,0.534477,0.320686,0.106895,1,DDoS,TCP
34866085,1528095721.890487,tcp,6,548,1528095731.245429,9613,9.354942,0.126909,0.113856,0.253818,0.013053,0.240765,4,2,428,120,0.534477,0.320686,0.106895,1,DDoS,TCP
34866086,1528095721.890489,tcp,6,548,1528095731.24543,9614,9.354941,0.126908,0.113857,0.253817,0.013052,0.240765,4,2,428,120,0.534477,0.320686,0.106895,1,DDoS,TCP
34866087,1528095721.89049,tcp,6,548,1528095731.245431,9615,9.354941,0.126908,0.113856,0.253816,0.013052,0.240764,4,2,428,120,0.534477,0.320686,0.106895,1,DDoS,TCP
34866088,1528095721.890492,tcp,4,428,1528095731.004668,9616,9.114176,0.006526,0.006526,0.013051,0.0,0.013051,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866089,1528095721.890493,tcp,4,428,1528095731.00467,9617,9.114177,0.006526,0.006526,0.013051,0.0,0.013051,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866090,1528095721.890495,tcp,4,428,1528095731.004671,9618,9.114176,0.006524,0.006524,0.013049,0.0,0.013049,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866091,1528095721.890496,tcp,4,428,1528095731.004673,9619,9.114177,0.006524,0.006524,0.013049,0.0,0.013049,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866092,1528095721.890497,tcp,4,428,1528095731.004675,9620,9.114178,0.006524,0.006524,0.013049,0.0,0.013049,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866093,1528095721.890499,tcp,4,428,1528095731.004677,9621,9.114178,0.006524,0.006524,0.013048,0.0,0.013048,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866094,1528095721.8905,tcp,4,428,1528095731.004678,9622,9.114178,0.006524,0.006524,0.013048,0.0,0.013048,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866095,1528095721.890502,tcp,4,428,1528095731.004679,9623,9.114177,0.006524,0.006524,0.013047,0.0,0.013047,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866096,1528095721.890503,tcp,4,428,1528095731.004681,9624,9.114178,0.006524,0.006524,0.013047,0.0,0.013047,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866097,1528095721.890505,tcp,4,428,1528095731.004682,9625,9.114177,0.006522,0.006522,0.013045,0.0,0.013045,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866098,1528095721.890506,tcp,4,428,1528095731.004684,9626,9.114178,0.006522,0.006522,0.013045,0.0,0.013045,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866099,1528095721.890508,tcp,4,428,1528095731.004686,9627,9.114178,0.006522,0.006522,0.013044,0.0,0.013044,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866100,1528095721.890509,tcp,4,428,1528095731.004687,9628,9.114178,0.006522,0.006522,0.013044,0.0,0.013044,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866101,1528095721.890513,tcp,4,428,1528095731.004689,9629,9.114176,0.00652,0.00652,0.013041,0.0,0.013041,3,1,368,60,0.329158,0.219438,0.0,1,DDoS,TCP
34866102,1528095721.890514,tcp,4,428,1528095731.022482,9630,9.131968,0.00652,0.00652,0.013041,0.0,0.013041,3,1,368,60,0.328516,0.219011,0.0,1,DDoS,TCP
